task,model_type,model_name,noise_type,evaluation_scope,clean_macro_f1,noisy_macro_f1,absolute_macro_f1_drop,relative_macro_f1_drop_pct,clean_accuracy,noisy_accuracy,absolute_accuracy_drop
sentiment,baseline,majority_class,domain_abbreviation,full,0.22287636669470143,0.22287636669470143,0.0,0.0,0.5022109917877448,0.5022109917877448,0.0
sentiment,baseline,majority_class,domain_abbreviation,changed_only,0.22287636669470143,0.21191856145043841,0.010957805244263014,4.916539786954235,0.5022109917877448,0.46601307189542485,0.03619791989231991
sentiment,baseline,majority_class,elongation,full,0.22287636669470143,0.22287636669470143,0.0,0.0,0.5022109917877448,0.5022109917877448,0.0
sentiment,baseline,majority_class,elongation,changed_only,0.22287636669470143,0.2228767795778105,-4.1288310906328896e-07,-0.00018525208176462286,0.5022109917877448,0.5022123893805309,-1.3975927861675785e-06
sentiment,baseline,majority_class,mixed_noise,full,0.22287636669470143,0.22287636669470143,0.0,0.0,0.5022109917877448,0.5022109917877448,0.0
sentiment,baseline,majority_class,mixed_noise,changed_only,0.22287636669470143,0.22292993630573246,-5.3569611031034636e-05,-0.024035572647509502,0.5022109917877448,0.5023923444976076,-0.00018135270986285867
sentiment,baseline,majority_class,no_accent,full,0.22287636669470143,0.22287636669470143,0.0,0.0,0.5022109917877448,0.5022109917877448,0.0
sentiment,baseline,majority_class,no_accent,changed_only,0.22287636669470143,0.22287719298245615,-8.26287754718269e-07,-0.0003707381661735932,0.5022109917877448,0.502213788741303,-2.796953558203974e-06
sentiment,baseline,majority_class,teencode_colloquial,full,0.22287636669470143,0.22287636669470143,0.0,0.0,0.5022109917877448,0.5022109917877448,0.0
sentiment,baseline,majority_class,teencode_colloquial,changed_only,0.22287636669470143,0.20966785290628706,0.013208513788414367,5.926385997896107,0.5022109917877448,0.4587929915639195,0.04341800022382525
sentiment,baseline,majority_class,typo,full,0.22287636669470143,0.22287636669470143,0.0,0.0,0.5022109917877448,0.5022109917877448,0.0
sentiment,baseline,majority_class,typo,changed_only,0.22287636669470143,0.2227997978485308,7.656884617063264e-05,0.03435485211203103,0.5022109917877448,0.5019518542615484,0.0002591375261963291
sentiment,baseline,tfidf_char_svm,domain_abbreviation,full,0.7353507893242824,0.7397138643941713,-0.0043630750698888665,-0.5933324793053012,0.873973468098547,0.8749210360075805,-0.0009475679090334976
sentiment,baseline,tfidf_char_svm,domain_abbreviation,changed_only,0.7353507893242824,0.7270855869271702,0.008265202397112259,1.1239808968869396,0.873973468098547,0.8915032679738563,-0.017529799875309227
sentiment,baseline,tfidf_char_svm,elongation,full,0.7353507893242824,0.7432055881774954,-0.007854798853212941,-1.068170316432346,0.873973468098547,0.8774478837650032,-0.003474415666456121
sentiment,baseline,tfidf_char_svm,elongation,changed_only,0.7353507893242824,0.7421125734448296,-0.006761784120547176,-0.9195317688800762,0.873973468098547,0.877370417193426,-0.003396949094878976
sentiment,baseline,tfidf_char_svm,mixed_noise,full,0.7353507893242824,0.7076236771647809,0.02772711215950152,3.770596640683572,0.873973468098547,0.8376500315855969,0.036323436512950114
sentiment,baseline,tfidf_char_svm,mixed_noise,changed_only,0.7353507893242824,0.706695962232737,0.02865482709154543,3.896756147889159,0.873973468098547,0.8382775119617225,0.035695956136824525
sentiment,baseline,tfidf_char_svm,no_accent,full,0.7353507893242824,0.4050247166001313,0.33032607272415115,44.92088368160854,0.873973468098547,0.46178142766898295,0.4121920404295641
sentiment,baseline,tfidf_char_svm,no_accent,changed_only,0.7353507893242824,0.40467787719089143,0.330672912133391,44.96805020597694,0.873973468098547,0.46173308032890575,0.4122403877696413
sentiment,baseline,tfidf_char_svm,teencode_colloquial,full,0.7353507893242824,0.7034531007426046,0.03189768858167785,4.3377513215140215,0.873973468098547,0.8404927353126974,0.03348073278584962
sentiment,baseline,tfidf_char_svm,teencode_colloquial,changed_only,0.7353507893242824,0.635249206072195,0.1001015832520874,13.612766139011184,0.873973468098547,0.8040233614536015,0.0699501066449455
sentiment,baseline,tfidf_char_svm,typo,full,0.7353507893242824,0.706523334207615,0.0288274551166674,3.9202317499593757,0.873973468098547,0.848389134554643,0.025584333543903992
sentiment,baseline,tfidf_char_svm,typo,changed_only,0.7353507893242824,0.6973854769501378,0.03796531237414469,5.162884561398405,0.873973468098547,0.8484059856864021,0.025567482412144904
